swaps_per_edge,seed,n,m,density,mean_degree,degree_cv,degree_gini,degree_q25,degree_q50,degree_q75,degree_q95,clustering_mean,clustering_q25,clustering_q50,clustering_q75,transitivity,triangles,components,largest_component_fraction,isolate_fraction,bridges,bridge_fraction,articulation_fraction,core_max,core_mean,communities,modularity,largest_community_fraction,community_gini,assortativity,betweenness_mean,betweenness_q95
0.5,2,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.04525661375661375,0.0,0.03571428571428571,0.07142857142857142,0.043811094099634906,124,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,13,0.3563,0.10333333333333333,0.15230769230769226,-0.03011217177180499,0.006791739920586899,0.014222298195996488
0.5,3,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.0418042328042328,0.0,0.03571428571428571,0.07142857142857142,0.041337887174655516,117,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,10,0.3474763888888889,0.13,0.1233333333333333,-0.02002715750271065,0.006777761562856841,0.013844137375577058
0.5,4,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.049878306878306876,0.0,0.03571428571428571,0.07142857142857142,0.04981745377458485,141,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,12,0.36315590277777776,0.13333333333333333,0.2761111111111112,-0.027230739123492165,0.00682036766391852,0.013421659109060409
0.5,5,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.034727513227513225,0.0,0.03571428571428571,0.05555555555555555,0.03462489694971146,98,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,10,0.34862708333333337,0.19,0.2646666666666666,-0.01714572485439787,0.006731816389108515,0.014075683059267713
0.5,6,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.03951322751322751,0.0,0.03571428571428571,0.07142857142857142,0.03957131079967024,112,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,11,0.3514152777777778,0.12333333333333334,0.13030303030303036,-0.008501426909459537,0.00666805225669289,0.013752033549708274
0.5,7,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.04585449735449735,0.0,0.03571428571428571,0.07142857142857142,0.0462843010246143,131,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,12,0.3652899305555556,0.15,0.22111111111111126,0.005905736332104043,0.006796904581019563,0.013408286701434393
0.5,8,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.041722222222222216,0.0,0.03571428571428571,0.06666666666666667,0.041691202449652576,118,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,11,0.35164131944444443,0.15,0.19272727272727286,-0.015705008530241465,0.006722815110861937,0.013996308944744256
0.5,9,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.03958994708994709,0.0,0.03571428571428571,0.06666666666666667,0.038864680249676126,110,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,12,0.3531579861111111,0.16,0.27,-0.032993604420117666,0.006725435869458454,0.013096802111000547
1.0,0,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.02267460317460317,0.0,0.0,0.03571428571428571,0.022612177599811566,64,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,11,0.32504791666666666,0.12666666666666668,0.1703030303030304,-0.018586441178554205,0.006656822793877789,0.014606156350279948
1.0,1,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.024246031746031745,0.0,0.0,0.03571428571428571,0.024025438699799787,68,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,10,0.3197128472222222,0.16333333333333333,0.23333333333333317,0.00014287103547862994,0.006653416006596124,0.012794802285394032
1.0,2,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.026187830687830687,0.0,0.027777777777777776,0.03571428571428571,0.026498645624779178,75,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,11,0.3327979166666667,0.12333333333333334,0.12242424242424255,-0.043078618689212395,0.006739870938428263,0.013813408221019893
