beta,seed,n,m,density,mean_degree,degree_cv,degree_gini,degree_q25,degree_q50,degree_q75,degree_q95,clustering_mean,clustering_q25,clustering_q50,clustering_q75,transitivity,triangles,components,largest_component_fraction,isolate_fraction,bridges,bridge_fraction,articulation_fraction,core_max,core_mean,communities,modularity,largest_community_fraction,community_gini,assortativity,betweenness_mean,betweenness_q95
0.05,6,300,1200,0.026755852842809364,8.0,0.07569125885243728,0.03338888888888891,8.0,8.0,8.0,9.0,0.5573862433862433,0.5,0.6071428571428571,0.6190476190476191,0.5517445298639858,1555,1,1.0,0.0,0,0.0,0.0,6.0,6.0,12,0.7828725694444444,0.12333333333333334,0.15000000000000013,-0.05376446497452271,0.0126042002045222,0.0415445438103152
0.05,7,300,1200,0.026755852842809364,8.0,0.08164965809277261,0.037355555555555586,8.0,8.0,8.0,9.0,0.5603306878306878,0.5,0.5857142857142856,0.6428571428571429,0.5525756143667296,1559,1,1.0,0.0,0,0.0,0.0,6.0,6.0,12,0.7870083333333333,0.11,0.10388888888888892,-0.018508808724832567,0.012717648764178599,0.042791822969329714
0.05,8,300,1200,0.026755852842809364,8.0,0.07839536550927824,0.03620555555555538,8.0,8.0,8.0,9.0,0.5566428571428572,0.5,0.5714285714285714,0.6428571428571429,0.5500650195058517,1551,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,13,0.7798819444444445,0.11666666666666667,0.12410256410256415,-0.030212689655672413,0.01219111142317795,0.03937994183230235
0.05,9,300,1200,0.026755852842809364,8.0,0.07216878364870322,0.0319666666666667,8.0,8.0,8.0,9.0,0.5562989417989418,0.5,0.5857142857142856,0.625,0.5502958579881657,1550,1,1.0,0.0,0,0.0,0.0,6.0,6.0,12,0.7831677083333334,0.12333333333333334,0.1100000000000001,-0.010109345987208815,0.012285174946162165,0.03957347692012915
0.1,0,300,1200,0.026755852842809364,8.0,0.10897247358851683,0.05642222222222215,7.0,8.0,8.0,9.0,0.4695800865800866,0.39285714285714285,0.4722222222222222,0.5714285714285714,0.4594785059901339,1304,1,1.0,0.0,0,0.0,0.0,6.0,6.0,13,0.738990625,0.12,0.1446153846153846,-0.010556611574685782,0.010097793541249702,0.029262559624215916
0.1,1,300,1200,0.026755852842809364,8.0,0.09789450103725608,0.04856944444444444,8.0,8.0,8.0,9.0,0.4967010582010582,0.42857142857142855,0.5,0.6071428571428571,0.4864578426754593,1377,1,1.0,0.0,0,0.0,0.0,6.0,6.0,12,0.7576045138888888,0.12,0.1433333333333333,0.02461999963417532,0.010576557658662044,0.03255762249625661
0.1,2,300,1200,0.026755852842809364,8.0,0.10992421631894099,0.05764444444444439,7.0,8.0,8.0,9.050000000000011,0.4670444925444925,0.38095238095238093,0.4722222222222222,0.5714285714285714,0.4565523720056365,1296,1,1.0,0.0,0,0.0,0.0,6.0,6.0,12,0.7410131944444445,0.10666666666666667,0.09444444444444455,-0.022548505506030547,0.009857362033309133,0.026471040111502375
0.1,3,300,1200,0.026755852842809364,8.0,0.10408329997330663,0.052855555555555434,8.0,8.0,8.0,9.0,0.47172318422318427,0.39285714285714285,0.4722222222222222,0.5714285714285714,0.46248824082784573,1311,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,12,0.7491628472222223,0.11,0.14166666666666683,0.03964807128319333,0.009902720733317343,0.030045410150475044
0.1,4,300,1200,0.026755852842809364,8.0,0.10992421631894099,0.0556333333333332,8.0,8.0,8.0,9.050000000000011,0.4650161135161135,0.38095238095238093,0.4722222222222222,0.5714285714285714,0.45479098168154064,1291,1,1.0,0.0,0,0.0,0.0,6.0,5.99,12,0.7467298611111111,0.12666666666666668,0.14500000000000002,-0.04655080439116167,0.010115022808557797,0.029302138812557114
0.1,5,300,1200,0.026755852842809364,8.0,0.11133657679906156,0.05767777777777772,8.0,8.0,8.25,9.0,0.45902741702741695,0.3611111111111111,0.4444444444444444,0.5714285714285714,0.4475877450404977,1271,1,1.0,0.0,0,0.0,0.0,6.0,5.993333333333333,12,0.7358847222222222,0.1,0.09555555555555562,-0.00948162167063668,0.009560915373493432,0.026883103048018598
0.1,6,300,1200,0.026755852842809364,8.0,0.11086778913041725,0.05677500000000002,8.0,8.0,9.0,9.0,0.48831240981240986,0.4255952380952381,0.47619047619047616,0.5714285714285714,0.4754637238788448,1350,1,1.0,0.0,0,0.0,0.0,6.0,5.993333333333333,13,0.7554600694444444,0.13666666666666666,0.14358974358974375,-0.002774235486769831,0.010010024904037811,0.029244636244455908
0.1,7,300,1200,0.026755852842809364,8.0,0.11770372409854613,0.06255555555555548,7.0,8.0,9.0,9.050000000000011,0.4595019240019241,0.38095238095238093,0.4642857142857143,0.5714285714285714,0.44544708777686626,1267,1,1.0,0.0,0,0.0,0.0,6.0,6.0,11,0.741659375,0.13333333333333333,0.10848484848484863,-0.05058015216626317,0.009660571605170254,0.03000475699728952
0.1,8,300,1200,0.026755852842809364,8.0,0.10944937947136414,0.05642222222222215,8.0,8.0,8.0,10.0,0.4895343915343915,0.4,0.5,0.5714285714285714,0.4752789195537287,1349,1,1.0,0.0,0,0.0,0.0,6.0,6.0,12,0.748648611111111,0.11,0.12722222222222235,-0.031005853940836912,0.010351504169321417,0.030586608789529644
