mu,seed,ARI,n,m,density,mean_degree,degree_cv,degree_gini,degree_q25,degree_q50,degree_q75,degree_q95,clustering_mean,clustering_q25,clustering_q50,clustering_q75,transitivity,triangles,components,largest_component_fraction,isolate_fraction,bridges,bridge_fraction,articulation_fraction,core_max,core_mean,communities,modularity,largest_community_fraction,community_gini,assortativity,betweenness_mean,betweenness_q95
0.2,4,0.9476273723323991,300,1158,0.02581939799331104,7.72,0.32585552233454973,0.182789291882556,6.0,7.5,9.0,12.0,0.05202048877048877,0.0,0.047619047619047616,0.07272727272727272,0.05222769442217386,152,1,1.0,0.0,1,0.0008635578583765112,0.0033333333333333335,5.0,4.823333333333333,4,0.5450437148200846,0.25666666666666665,0.008333333333333304,-0.043981351318785666,0.007319178661223541,0.019129708427118045
0.2,5,0.8375170244023765,300,1177,0.02624303232998885,7.846666666666667,0.36575127998659773,0.20477485131690742,6.0,7.5,10.0,13.0,0.05483295353883588,0.0,0.047619047619047616,0.08333333333333333,0.05777921239509361,179,1,1.0,0.0,2,0.0016992353440951572,0.006666666666666667,5.0,4.78,4,0.5274035987119305,0.2633333333333333,0.030000000000000027,-0.025572285332025043,0.007067072741315004,0.01814794524007834
0.2,6,0.8579684712280798,300,1227,0.027357859531772576,8.18,0.32269207639890235,0.18006519967400147,6.0,8.0,10.0,13.0,0.058159618159618155,0.011363636363636364,0.047619047619047616,0.08333333333333333,0.058447488584474884,192,2,0.9966666666666667,0.0033333333333333335,0,0.0,0.0,5.0,4.846666666666667,5,0.5205708425410603,0.26,0.20799999999999996,-0.009387574743334192,0.006714641439587016,0.016936047907365838
0.2,7,0.8617628038101576,300,1162,0.025908584169453734,7.746666666666667,0.3527937503887164,0.1960097532989098,6.0,7.0,9.0,13.0,0.056284678284678286,0.0,0.047619047619047616,0.09090909090909091,0.05825892857142857,174,1,1.0,0.0,1,0.0008605851979345956,0.0033333333333333335,5.0,4.8133333333333335,4,0.5405767402039927,0.2733333333333333,0.030000000000000027,0.03476303613855205,0.0072154526975362464,0.02056716025551022
0.2,8,0.9122436098896389,300,1182,0.026354515050167223,7.88,0.3580149942400914,0.20246192893401016,6.0,8.0,10.0,13.0,0.06117835867835867,0.0,0.05454545454545454,0.09523809523809523,0.06304953892343984,196,1,1.0,0.0,1,0.0008460236886632825,0.0033333333333333335,5.0,4.75,4,0.5570096140356905,0.28,0.04166666666666674,-0.003900868827325276,0.007276206168142956,0.020232966446756658
0.2,9,0.9822232338088257,300,1286,0.02867335562987737,8.573333333333334,0.3575748654464449,0.20137636080870913,6.0,8.0,11.0,14.0,0.06102174731586497,0.022222222222222223,0.05555555555555555,0.09199134199134198,0.06323437079558705,235,1,1.0,0.0,1,0.0007776049766718507,0.0033333333333333335,6.0,5.5,4,0.558997603090103,0.25333333333333335,0.008333333333333304,0.006689489588088793,0.00684416438905167,0.020533973212743688
0.3,0,0.8364859490469371,300,1194,0.026622073578595317,7.96,0.34720672703768246,0.19584868788386367,6.0,8.0,10.0,13.0,0.041943066193066196,0.0,0.03571428571428571,0.06666666666666667,0.044098984771573604,139,1,1.0,0.0,1,0.0008375209380234506,0.0033333333333333335,5.0,4.776666666666666,4,0.46943083648280487,0.26666666666666666,0.03166666666666673,0.027485242113864473,0.006821479257729032,0.017878576789341568
0.3,1,0.8449921356482133,300,1277,0.0284726867335563,8.513333333333334,0.32246671497395013,0.17806838945445036,7.0,8.0,10.0,13.050000000000011,0.046193016363295,0.0,0.03603896103896104,0.06666666666666667,0.04363636363636364,156,1,1.0,0.0,1,0.0007830853563038371,0.0033333333333333335,6.0,5.673333333333333,4,0.44016295779372294,0.26666666666666666,0.021666666666666723,-0.027966913458584524,0.0065519337341587314,0.016790776839542054
0.3,2,0.6705228769130903,300,1191,0.026555183946488294,7.94,0.34985401614256456,0.19615169325496784,6.0,8.0,10.0,13.0,0.04734500085970674,0.0,0.03571428571428571,0.06666666666666667,0.04520853231454951,142,1,1.0,0.0,1,0.0008396305625524769,0.0033333333333333335,5.0,4.81,5,0.4253338606579855,0.28,0.20266666666666677,0.0012558438357382444,0.006669463900496675,0.01824255617524572
0.3,3,0.5997464705387365,300,1225,0.027313266443701228,8.166666666666666,0.33561347037831374,0.18768163265306104,6.0,8.0,10.0,13.0,0.04085086745613062,0.0,0.03571428571428571,0.06666666666666667,0.04088431253785584,135,1,1.0,0.0,3,0.0024489795918367346,0.01,5.0,4.85,5,0.4030430653894211,0.24666666666666667,0.14666666666666672,-0.0007042864226041482,0.006593927985944541,0.016513152466021874
