dataset,seed_a,seed_b,ARI
Florentine families,11,14,1.0
Florentine families,11,15,1.0
Florentine families,11,16,1.0
Florentine families,11,17,1.0
Florentine families,11,18,1.0
Florentine families,11,19,1.0
Florentine families,12,13,1.0
Florentine families,12,14,1.0
Florentine families,12,15,1.0
Florentine families,12,16,1.0
Florentine families,12,17,1.0
Florentine families,12,18,1.0
Florentine families,12,19,1.0
Florentine families,13,14,1.0
Florentine families,13,15,1.0
Florentine families,13,16,1.0
Florentine families,13,17,1.0
Florentine families,13,18,1.0
Florentine families,13,19,1.0
Florentine families,14,15,1.0
Florentine families,14,16,1.0
Florentine families,14,17,1.0
Florentine families,14,18,1.0
Florentine families,14,19,1.0
Florentine families,15,16,1.0
Florentine families,15,17,1.0
Florentine families,15,18,1.0
Florentine families,15,19,1.0
Florentine families,16,17,1.0
Florentine families,16,18,1.0
Florentine families,16,19,1.0
Florentine families,17,18,1.0
Florentine families,17,19,1.0
Florentine families,18,19,1.0
C. elegans,0,1,0.5605745470823874
C. elegans,0,2,0.7301305040062713
C. elegans,0,3,0.6320777064035609
C. elegans,0,4,0.6680708558764096
C. elegans,0,5,0.640916508382734
C. elegans,0,6,0.6488290849108506
C. elegans,0,7,0.567989268048522
C. elegans,0,8,0.7111353104177794
C. elegans,0,9,0.6218585243831317
C. elegans,0,10,0.5071787898215077
C. elegans,0,11,0.5934116319725584
C. elegans,0,12,0.5687552630490671
C. elegans,0,13,0.7796144763075062
C. elegans,0,14,0.8008205147820758
C. elegans,0,15,0.6196773526017849
C. elegans,0,16,0.6281605076586624
C. elegans,0,17,0.579703987372612
C. elegans,0,18,0.6824741831789034
